product_name,nutrient_id,amount_100
Яйцо куриное,vit_b2,0.4400
Яйцо куриное,vit_pp,0.2000
Лосось,na,40.0000
Лосось,k,335.0000
Лосось,ca,20.0000
Лосось,mg,30.0000
Лосось,p,220.0000
Лосось,fe,0.6000
Лосось,vit_a,0.0500
Лосось,vit_b1,0.0600
Лосось,vit_b2,0.2000
Лосось,vit_pp,2.2000
Скумбрия,na,100.0000
Скумбрия,k,335.0000
Скумбрия,ca,40.0000
Скумбрия,mg,50.0000
Скумбрия,p,280.0000
Скумбрия,fe,1.7000
Скумбрия,vit_a,0.0100
Скумбрия,vit_b1,0.1200
Скумбрия,vit_b2,0.3600
Скумбрия,vit_pp,8.6000
Треска,na,78.0000
Треска,k,340.0000
Треска,ca,25.0000
Треска,mg,30.0000
Треска,p,210.0000
Треска,fe,0.5000
Треска,vit_b1,0.0900
Треска,vit_b2,0.0700
Треска,vit_pp,2.3000
Картофель,na,28.0000
Картофель,k,568.0000
Картофель,ca,10.0000
Картофель,mg,23.0000
Картофель,p,58.0000
Картофель,fe,0.9000
Картофель,beta_carotene,0.0200
Картофель,vit_b1,0.1200
Картофель,vit_b2,0.0700
Картофель,vit_pp,1.3000
Картофель,vit_c,20.0000
Морковь,na,21.0000
Морковь,k,200.0000
Морковь,ca,51.0000
Морковь,mg,38.0000
Морковь,p,55.0000
Морковь,fe,1.2000
Морковь,beta_carotene,9.0000
Морковь,vit_b1,0.0600
Морковь,vit_b2,0.0700
Морковь,vit_pp,1.0000
Морковь,vit_c,5.0000
Помидор,na,40.0000
Помидор,k,290.0000
Помидор,ca,14.0000
Помидор,mg,20.0000
Помидор,p,26.0000
Помидор,fe,0.9000
Помидор,beta_carotene,1.2000
Помидор,vit_b1,0.0600
Помидор,vit_b2,0.0400
Помидор,vit_pp,0.5300
Помидор,vit_c,25.0000
Огурец,na,8.0000
Огурец,k,141.0000
Огурец,ca,23.0000
Огурец,mg,14.0000
Огурец,p,42.0000
Огурец,fe,0.6000
Огурец,beta_carotene,0.0600
Огурец,vit_b1,0.0300
Огурец,vit_b2,0.0400
Огурец,vit_pp,0.2000
Огурец,vit_c,10.0000
Лук репчатый,na,18.0000
Лук репчатый,k,175.0000
Лук репчатый,ca,31.0000
Лук репчатый,mg,14.0000
Лук репчатый,p,58.0000
Лук репчатый,fe,0.8000
Лук репчатый,vit_b1,0.0500
Лук репчатый,vit_b2,0.0200
Лук репчатый,vit_pp,0.2000
Лук репчатый,vit_c,10.0000
Перец сладкий,na,10.0000
Перец сладкий,k,163.0000
Перец сладкий,ca,8.0000
Перец сладкий,mg,11.0000
Перец сладкий,p,16.0000
Перец сладкий,fe,0.6000
Перец сладкий,beta_carotene,2.0000
Перец сладкий,vit_b1,0.1000
Перец сладкий,vit_b2,0.0800
Перец сладкий,vit_pp,1.0000
Перец сладкий,vit_c,250.0000
Капуста белокочанная,na,13.0000
Капуста белокочанная,k,185.0000
Капуста белокочанная,ca,48.0000
Капуста белокочанная,mg,16.0000
Капуста белокочанная,p,31.0000
Капуста белокочанная,fe,0.6000
Капуста белокочанная,beta_carotene,0.0200
Капуста белокочанная,vit_b1,0.0300
Капуста белокочанная,vit_b2,0.0400
Капуста белокочанная,vit_pp,0.7400
Капуста белокочанная,vit_c,45.0000
Кабачок,na,2.0000
Кабачок,k,238.0000
Кабачок,ca,15.0000
Кабачок,mg,9.0000
Кабачок,p,12.0000
Кабачок,fe,0.4000
Кабачок,beta_carotene,0.0200
Кабачок,vit_b1,0.0300
Кабачок,vit_b2,0.0300
Кабачок,vit_pp,0.6000
Кабачок,vit_c,15.0000
Шпинат,na,62.0000
Шпинат,k,774.0000
Шпинат,ca,106.0000
Шпинат,mg,82.0000
Шпинат,p,83.0000
Шпинат,fe,3.0000
Шпинат,beta_carotene,4.5000
Шпинат,vit_b1,0.1000
Шпинат,vit_b2,0.2500
Шпинат,vit_pp,0.6000
Шпинат,vit_c,55.0000
Свёкла,na,86.0000
Свёкла,k,288.0000
Свёкла,ca,37.0000
Свёкла,mg,22.0000
Свёкла,p,43.0000
Свёкла,fe,1.4000
Свёкла,beta_carotene,0.0100
Свёкла,vit_b1,0.0200
Свёкла,vit_b2,0.0400
Свёкла,vit_pp,0.2000
Свёкла,vit_c,10.0000
Тыква,na,14.0000
Тыква,k,204.0000
Тыква,ca,25.0000
Тыква,mg,14.0000
Тыква,p,25.0000
Тыква,fe,0.4000
Тыква,beta_carotene,1.5000
Тыква,vit_b1,0.0500
Тыква,vit_b2,0.0600
Тыква,vit_pp,0.5000
Тыква,vit_c,8.0000
Шампиньоны,na,6.0000
Шампиньоны,k,530.0000
Шампиньоны,ca,4.0000
Шампиньоны,mg,15.0000
Шампиньоны,p,115.0000
Шампиньоны,fe,0.3000
Шампиньоны,vit_b1,0.1000
Шампиньоны,vit_b2,0.4500
Шампиньоны,vit_pp,4.0000
Шампиньоны,vit_c,7.0000
Маслины,na,2200.0000
